Component Name ,,Quantity,Price ,Purchase Link
Arduino uno R3 ,,1,6.59$,https://free-electronic.com/product/arduino-uno-r3/
Ultrasonic sensors,,2,1.51$,https://free-electronic.com/product/ultrasonic-sensor-hc-sr04/
Breadboard,,2,0.94$,https://free-electronic.com/product/breadboard-soldless-400-tie-points/
LCD16 blue blacklight,,1,4.90$,https://free-electronic.com/product/lcd1604-blue-backlight/
LED60 mixed colors,,1,0.85$,https://free-electronic.com/product/led60-mixed-color-led-size-5mm-in-box/
65pcs jumper wires,,1,0.75$,https://free-electronic.com/product/65pcs-flexible-breadboard-jumper-wires/
passive buzzer ,,1,0.47$,https://free-electronic.com/product/passive-buzzer-module/
resistor ,,1,0.14$,https://free-electronic.com/product/resistor-15-ohm-1w/
,,,16.15$,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
